身份证	身份证 🪪
tc	tc Tc 锝 Technetium 43 98 ʨ
th	th Th 钍 Thorium 90 232 ᵺ
ts	ts Ts 鿬 Tennessine 117 294 ʦ ʧ
og	og Og 鿫 Oganesson 118 294
tz	tz ꜩ Ꜩ
ue	ue ᵫ
vy	vy ꝡ Ꝡ
ww	ww ʬ
vu	vu ゔ ヴ
va	va ゔぁ ヴァ
whi	whi うぃ ウィ
vi	vi ゔぃ ヴィ
whe	whe うぇ ウェ
ve	ve ゔぇ ヴェ
vo	vo ゔぉ ヴォ
vya	vya ゔゃ ヴャ
vyu	vyu ゔゅ ヴュ
vyo	vyo ゔょ ヴョ
ka	ka か カ
ga	ga Ga 镓 Gallium 31 69.72 が ガ
zr	zr Zr 锆 Zirconium 40 91.22
nb	nb Nb 铌 Niobium 41 92.91
nga	nga かﾟ  カﾟ
ki	ki き キ
gi	gi ぎ ギ
ngi	ngi きﾟ キﾟ
kya	kya きゃ キャ
gya	gya ぎゃ ギャ
ngya	ngya きﾟゃ キﾟャ
kyu	kyu きゅ キュ
gyu	gyu ぎゅ ギュ
ngyu	ngyu きﾟゅ キﾟュ
kyo	kyo きょ キョ
gyo	gyo ぎょ ギョ
ngyo	ngyo きﾟょ キﾟョ
ku	ku く ク
gu	gu ぐ グ
ngu	ngu くﾟ クﾟ
kwa	kwa くぁ クァ くゎ クヮ
kwi	kwi くぃ クィ
kwe	kwe くぇ クェ
kwo	kwo くぉ クォ
kwya	kwya くゃ クャ
kwyu	kwyu くゅ クュ
kwyo	kwyo くょ クョ
gwa	gwa ぐゎ グヮ
ngwa	ngwa くﾟゎ クﾟヮ
ke	ke け ケ
ge	ge Ge 锗 Germanium 32 72.63 げ ゲ
as	as As 砷 Arsenic 33 74.92
nge	nge けﾟ ケﾟ
ko	ko こ コ
go	go ご ゴ
ngo	ngo こﾟ コﾟ
sa	sa さ サ
za	za ざ ザ
shi	shi ㄕ し シ
ji	ji じ ジ ぢ ヂ
she	she しぇ シェ
je	je じぇ ジェ
sha	sha しゃ シャ
ja	ja じゃ ジャ
shu	shu しゅ シュ
ju	ju じゅ ジュ
sho	sho しょ ショ
jo	jo じょ ジョ
su	su す ス
zu	zu ず ズ づ ヅ
si	si Si 硅 Silicon 14 28.09 ㄙ すぃ スィ
cl	cl Cl 氯 Chlorine 17 35.45
ar	ar Ar 氩 Argon 18 39.95
ca	ca Ca 钙 Calcium 20 40.08
sc	sc Sc 钪 Scandium 21 44.96
cr	cr Cr 铬 Chromium 24 52.00
mn	mn Mn 锰 Manganese 25 54.94
zi	zi ㄗ ずぃ ズィ
se	se Se 硒 Selenium 34 78.96 せ セ
br	br Br 溴 Bromine 35 79.90
kr	kr Kr 氪 Krypton 36 83.80
rb	rb Rb 铷 Rubidium 37 85.47
sr	sr Sr 锶 Strontium 38 87.62
ze	ze ぜ ゼ
ce	ce Ce 铈 Cerium 58 140 せﾟ セﾟ
pr	pr Pr 镨 Praseodymium 59 141
nd	nd Nd 钕 Neodymium 60 144
pm	pm Pm 钷 Promethium 61 145
lr	lr Lr 铹 Lawrencium 103 260
rf	rf Rf 𬬻 Rutherfordium 104 261
so	so そ ソ
zo	zo ぞ ゾ
ta	ta Ta 钽 Tantalum 73 181 た タ
da	da だ ダ
chi	chi Χ 𝛸 χ 𝜒 ㄔ ち チ
che	che ちぇ チェ
cha	cha ちゃ チャ
chu	chu ちゅ チュ
cho	cho ちょ チョ
tsu	tsu つ ツ
tu	tu つﾟ ツﾟ とぅ トゥ
tsa	tsa つぁ ツァ
tsi	tsi つぃ ツィ
tse	tse つぇ ツェ
tso	tso つぉ ツォ
te	te Te 碲 Tellurium 52 127.6 て テ
de	de で デ
ti	ti Ti 钛 Titanium 22 47.87 てぃ ティ
di	di でぃ ディ
tya	tya てゃ テャ
dya	dya でゃ デャ
tyu	tyu てゅ テュ
dyu	dyu でゅ デュ
tyo	tyo てょ テョ
dyo	dyo でょ デョ
to	to と ト
do	do ど ド
du	du どぅ ドゥ
na	na Na 钠 Sodium 11 22.99 な ナ
mg	mg Mg 镁 Magnesium 12 24.31
al	al Al 铝 Aluminum 13 26.98
ni	ni Ni 镍 Nickel 28 58.69 に ニ
cu	cu Cu 铜 Copper 29 63.55
zn	zn Zn 锌 Zinc 30 65.58
nya	nya にゃ ニャ
nyu	nyu にゅ ニュ
nyo	nyo にょ ニョ
nu	nu Ν 𝛮 ν 𝜈 ぬ ヌ
ne	ne Ne 氖 Neon 10 20.18 ね ネ
ha	ha は ハ
ba	ba Ba 钡 Barium 56 137.3 ば バ
pa	pa Pa 镤 Protactinium 91 231 ぱ パ
hi	hi ひ ヒ
bi	bi Bi 铋 Bismuth 83 209 び ビ
pi	pi Π 𝛱 π 𝜋 ϖ 𝜛 ぴ ピ
hya	hya ひゃ ヒャ
bya	bya びゃ ビャ
pya	pya ぴゃ ピャ
hyu	hyu ひゅ ヒュ
byu	byu びゅ ビュ
pyu	pyu ぴゅ ピュ
hyo	hyo ひょ ヒョ
byo	byo びょ ビョ
pyo	pyo ぴょ ピョ
fu	fu ふ フ
bu	bu ぶ ブ
pu	pu Pu 钚 Plutonium 94 244 ぷ プ
am	am Am 镅 Americium 95 243
cm	cm Cm 锔 Curium 96 247
bk	bk Bk 锫 Berkelium 97 247
cf	cf Cf 锎 Californium 98 251
es	es Es 锿 Einsteinium 99 252
fm	fm Fm 镄 Fermium 100 257
md	md Md 钔 Mendelevium 101 258
fa	fa ふぁ ファ
fi	fi ふぃ フィ ﬁ
fe	fe Fe 铁 Iron 26 55.85 ふぇ フェ
co	co Co 钴 Cobalt 27 58.93
fo	fo ㄈㄛ ふぉ フォ
fya	fya ふゃ フャ
fyu	fyu ふゅ フュ
fyo	fyo ふょ フョ
he	he He 氦 Helium 2 4.003 へ ヘ
be	be Be 铍 Beryllium 4 9.012 べ ベ
pe	pe ぺ ペ
ho	ho Ho 钬 Holmium 67 165 ほ ホ
bo	bo ㄅㄛ ぼ ボ
po	po Po 钋 Polonium 84 209 ㄆㄛ ぽ ポ
hu	hu ほぅ ホゥ
ma	ma ま マ
mi	mi み ミ
mya	mya みゃ ミャ
myu	myu みゅ ミュ
myo	myo みょ ミョ
mu	mu Μ 𝛭 μ 𝜇 む ム
me	me め メ
mo	mo Mo 钼 Molybdenum 42 95.96 ㄇㄛ も モ
ya	ya や ヤ
yu	yu ゆ ユ
yo	yo よ ヨ
ra	ra Ra 镭 Radium 88 226 ら ラ
ac	ac Ac 锕 Actinium 89 227
la	la La 镧 Lanthanum 57 139 らﾟ ラﾟ
ri	ri ㄖ り リ
li	li Li 锂 Lithium 3 6.941 りﾟ リﾟ
rya	rya りゃ リャ
lya	lya りﾟゃ リﾟャ
ryu	ryu りゅ リュ
lyu	lyu りﾟゅ リﾟュ
ryo	ryo りょ リョ
lyo	lyo りﾟょ リﾟョ
ru	ru Ru 钌 Ruthenium 44 101.1 る ル
rh	rh Rh 铑 Rhodium 45 102.9
pd	pd Pd 钯 Palladium 46 106.4
ag	ag Ag 银 Silver 47 107.9
cd	cd Cd 镉 Cadmium 48 112.4
lu	lu Lu 镥 Lutetium 71 175 るﾟ ルﾟ
hf	hf Hf 铪 Hafnium 72 178.5
re	re Re 铼 Rhenium 75 186 れ レ
os	os Os 锇 Osmium 76 190
ir	ir Ir 铱 Iridium 77 192
pt	pt Pt 铂 Platinum 78 195
le	le れﾟ レﾟ
ro	ro ろ ロ
lo	lo ろﾟ ロﾟ
wa	wa わ ワ
wi	wi ゐ ヰ
we	we ゑ ヱ
wo	wo を ヲ
hbar	hbar ℏ ħ
aleph	aleph א
alpha	alpha Α 𝛢 α 𝛼
beta	beta Β 𝛣 β 𝛽
gamma	gamma Γ 𝛤 γ 𝛾
delta	delta Δ 𝛥 δ 𝛿
epsilon	epsilon Ε 𝛦 ε 𝜀 ϵ 𝜖
zeta	zeta Ζ 𝛧 ζ 𝜁
eta	eta Η 𝛨 η 𝜂
theta	theta Θ 𝛩 ϴ 𝛳 θ 𝜃 ϑ 𝜗
iota	iota Ι 𝛪 ι 𝜄
kappa	kappa Κ 𝛫 κ 𝜅 ϰ 𝜘
lambda	lambda Λ 𝛬 λ 𝜆
xi	xi Ξ 𝛯 ξ 𝜉
omicron	omicron Ο 𝛰 ο 𝜊
rho	rho Ρ 𝛲 ρ 𝜌 ϱ 𝜚
sigma	sigma Σ 𝛴 σ 𝜎
tau	tau Τ 𝛵 τ 𝜏
upsilon	upsilon Υ 𝛶 υ 𝜐
phi	phi Φ 𝛷 φ 𝜑 ϕ 𝜙
psi	psi Ψ 𝛹 ψ 𝜓
omega	omega Ω 𝛺 ω 𝜔
厘	厘 ㌢
质量	质量 ㎍ ㎎ ㎏
克	克 ㎍ ㎎ ㎏ ㌘
吨	吨 ㌧
距离	距离 ㎙ ㎚ ㎛ ㎜ ㎝ ㎞
长度	长度 ㎙ ㎚ ㎛ ㎜ ㎝ ㎞
米	米 ㎙ ㎚ ㎛ ㎜ ㎝ ㎞ ㍍
弧度	弧度 ㎭ ㎮ ㎯
面积	面积 ㎟ ㎠ ㎡ ㎢
公顷	公顷 ㌶
体积	体积 ㎣ ㎤ ㎥ ㎦ ㎕ ㎖ ㎗ ㎘ ㍑
电流	电流 ㎀ ㎁ ㎂ ㎃ ㎄
安	安 🉃 ㎀ ㎁ ㎂ ㎃ ㎄
安培	安培 ㎀ ㎁ ㎂ ㎃ ㎄
容量	容量 ㎕ ㎖ ㎗ ㎘
升	升 ㎕ ㎖ ㎗ ㎘ ㍑
频率	频率 ㎐ ㎑ ㎒ ㎓ ㎔
赫兹	赫兹 ㎐ ㎑ ㎒ ㎓ ㎔
速度	速度 ㎧
加速度	加速度 ㎨
压强	压强 ㎩ ㍱ ㎪ ㎫ ㎬
压力	压力 ㎩ ㍱ ㎪ ㎫ ㎬
帕	帕 ㎩ ㍱ ㎪ ㎫ ㎬
帕斯卡	帕斯卡 ㎩ ㍱ ㎪ ㎫ ㎬
电压	电压 ㎴ ㎵ ㎶ ㎷ ㎸ ㎹
伏	伏 ㎴ ㎵ ㎶ ㎷ ㎸ ㎹
伏特	伏特 ㎴ ㎵ ㎶ ㎷ ㎸ ㎹
功率	功率 ㎺ ㎻ ㎼ ㎽ ㎾ ㎿
瓦	瓦 ㎺ ㎻ ㎼ ㎽ ㎾ ㎿ ㍗
瓦特	瓦特 ㎺ ㎻ ㎼ ㎽ ㎾ ㎿ ㍗
电阻	电阻 ㏀ ㏁
欧	欧 ㏀ ㏁
欧姆	欧姆 ㏀ ㏁
电容	电容 ㎊ ㎋ ㎌
法拉	法拉 ㎊ ㎋ ㎌
字节	字节 ㎅ ㎆ ㎇
对数	对数 ㏑ ㏒
摩尔	摩尔 ㏖
ppm	ppm ㏙
分贝	分贝 ㏈
平方米	平方米 ㎡
英里	英里 ㏕
纳米	纳米 ㎚
微米	微米 ㎛
毫米	毫米 ㎜
厘米	厘米 ㎝
千米	千米 ㎞ ㏎
立方米	立方米 m³
毫克	毫克 ㎎
千克	千克 ㎏
积分	积分 ∫ ∬ ∭ ∮ ∯ ∰ ⨌
星期一	星期一 月曜日 げつようび
星期二	星期二 火曜日 かようび
星期三	星期三 水曜日 すいようび
星期四	星期四 木曜日 もくようび
星期五	星期五 金曜日 きんようび
星期六	星期六 土曜日 どようび
星期日	星期日 日曜日 にちようび
星期天	星期天 日曜日 にちようび
周一	周一 月曜日 げつようび
周二	周二 火曜日 かようび
周三	周三 水曜日 すいようび
周四	周四 木曜日 もくようび
周五	周五 金曜日 きんようび
周六	周六 土曜日 どようび
周日	周日 日曜日 にちようび
周天	周天 日曜日 にちようび
七情	七情 喜 怒 忧 思 悲 恐 惊
六欲	六欲 眼（见欲，贪美色奇物） 耳（听欲，贪美音赞言） 鼻（香欲，贪香味） 舌（味欲，贪美食口快） 身（触欲，贪舒适享受） 意（意欲，贪声色、名利、恩爱） 色欲 形貌欲 威仪姿态欲 言语音声欲 细滑欲和人相欲
天干	天干 甲 乙 丙 丁 戊 己 庚 辛 壬 癸
地支	地支 子 丑 寅 卯 辰 巳 午 未 申 酉 戌 亥
干支	干支 甲子 乙丑 丙寅 丁卯 戊辰 己巳 庚午 辛未 壬申 癸酉 甲戌 乙亥 丙子 丁丑 戊寅 己卯 庚辰 辛巳 壬午 癸未 甲申 乙酉 丙戌 丁亥 戊子 己丑 庚寅 辛卯 壬辰 癸巳 甲午 乙未 丙申 丁酉 戊戌 己亥 庚子 辛丑 壬寅 癸卯 甲辰 乙巳 丙午 丁未 戊申 己酉 庚戌 辛亥 壬子 癸丑 甲寅 乙卯 丙辰 丁巳 戊午 己未 庚申 辛酉 壬戌 癸亥
节气	节气 冬至 小寒 大寒 立春 雨水 惊蛰 春分 清明 谷雨 立夏 小满 芒种 夏至 小暑 大暑 立秋 处暑 白露 秋分 寒露 霜降 立冬 小雪 大雪
五谷	五谷 稻 黍（黍米） 稷（小米） 麦 菽（大豆） 麻（大麻）
三字经	三字经 人之初 性本善 性相近 习相远 苟不教 性乃迁 教之道 贵以专 昔孟母 择邻处 子不学 断机杼 窦燕山 有义方 教五子 名俱扬 养不教 父之过 教不严 师之惰 子不学 非所宜 幼不学 老何为 玉不琢 不成器 人不学 不知义 为人子 方少时 亲师友 习礼仪 香九龄 能温席 孝于亲 所当执 融四岁 能让梨 弟于长 宜先知 首孝弟 次见闻 知某数 识某文 一而十 十而百 百而千 千而万 三才者 天地人 三光者 日月星 三纲者 君臣义 父子亲 夫妇顺 曰春夏 曰秋冬 此四时 运不穷 曰南北 曰西东 此四方 应乎中 曰水火 木金土 此五行 本乎数 曰仁义 礼智信 此五常 不容紊 稻粱菽 麦黍稷 此六谷 人所食 马牛羊 鸡犬豕 此六畜 人所饲 曰喜怒 曰哀惧 爱恶欲 七情具 匏土革 木石金 丝与竹 乃八音 高曾祖 父而身 身而子 子而孙 自子孙 至玄曾 乃九族 人之伦 父子恩 夫妇从 兄则友 弟则恭 长幼序 友与朋 君则敬 臣则忠 此十义 人所同 凡训蒙 须讲究 详训诂 明句读 为学者 必有初 小学终 至四书 论语者 二十篇 群弟子 记善言 孟子者 七篇止 讲道德 说仁义 作中庸 子思笔 中不偏 庸不易 作大学 乃曾子 自脩齐 至平治 孝经通 四书熟 如六经 始可读 诗书易 礼春秋 号六经 当讲求 有连山 有归藏 有周易 三易详 有典谟 有训诰 有誓命 书之奥 我周公 作周礼 著六官 存治体 大小戴 注礼记 述圣言 礼乐备 曰国风 曰雅颂 号四诗 当讽咏 诗既亡 春秋作 寓褒贬 别善恶 三传者 有公羊 有左氏 有谷梁 经既明 方读子 撮其要 记其事 五子者 有荀杨 文中子 及老庄 经子通 读诸史 考世系 知终始 自羲农 至黄帝 号三皇 居上世 唐有虞 号二帝 相揖逊 称盛世 夏有禹 商有汤 周文武 称三王 夏传子 家天下 四百载 迁夏社 汤伐夏 国号商 六百载 至纣亡 周武王 始诛纣 八百载 最长久 周辙东 王纲坠 逞干戈 尚游说 始春秋 终战国 五霸强 七雄出 嬴秦氏 始兼并 传二世 楚汉争 高祖兴 汉业建 至孝平 王莽篡 光武兴 为东汉 四百年 终于献 魏蜀吴 争汉鼎 号三国 迄两晋 宋齐继 梁陈承 为南朝 都金陵 北元魏 分东西 宇文周 与高齐 迨至隋 一土宇 不再传 失统绪 唐高祖 起义师 除隋乱 创国基 二十传 三百载 梁灭之 国乃改 梁唐晋 及汉周 称五代 皆有由 炎宋兴 受周禅 十八传 南北混 十七史 全在兹 载治乱 知兴衰 读史者 考实录 通古今 若亲目 口而诵 心而惟 朝于斯 夕于斯 昔仲尼 师项橐 古圣贤 尚勤学 赵中令 读鲁论 彼既仕 学且勤 披蒲编 削竹简 彼无书 且知勉 头悬梁 锥刺股 彼不教 自勤苦 如囊萤 如映雪 家虽贫 学不辍 如负薪 如挂角 身虽劳 犹苦卓 蘇老泉 二十七 始发愤 读书籍 彼既老 犹悔迟 尔小生 宜早思 若梁灝 八十二 对大廷 魁多士 彼既成 众称异 尔小生 宜立志 莹八岁 能咏诗 泌七岁 能赋碁 彼颖悟 人称奇 尔幼学 当效之 蔡文姬 能辨琴 谢道韫 能咏吟 彼女子 且聪敏 尔男子 当自警 唐刘晏 方七岁 举神童 作正字 彼虽幼 身己仕 尔幼学 勉而致 有为者 亦若是 犬守夜 鸡司晨 苟不学 曷为人 蚕吐丝 蜂酿蜜 人不学 不如物 幼而学 壮而行 上致君 下泽民 扬名声 显父母 光于前 裕于後 人遗子 金满籯 我教子 惟一经 勤有功 戏无益 戒之哉 宜勉力
百家姓	百家姓 赵钱孙李 周吴郑王 冯陈褚卫 蒋沈韩杨 朱秦尤许 何吕施张 孔曹严华 金魏陶姜 戚谢邹喻 柏水窦章 云苏潘葛 奚范彭郎 鲁韦昌马 苗凤花方 俞任袁柳 酆鲍史唐 费廉岑薛 雷贺倪汤 滕殷罗毕 郝邬安常 乐于时傅 皮卞齐康 伍余元卜 顾孟平黄 和穆萧尹 姚邵湛汪 祁毛禹狄 米贝明臧 计伏成戴 谈宋茅庞 熊纪舒屈 项祝董梁 杜阮蓝闵 席季麻强 贾路娄危 江童颜郭 梅盛林刁 钟徐邱骆 高夏蔡田 樊胡凌霍 虞万支柯 昝管卢莫 经房裘缪 干解应宗 丁宣贲邓 郁单杭洪 包诸左石 崔吉钮龚 程嵇邢滑 裴陆荣翁 荀羊於惠 甄曲家封 芮羿储靳 汲邴糜松 井段富巫 乌焦巴弓 牧隗山谷 车侯宓蓬 全郗班仰 秋仲伊宫 宁仇栾暴 甘钭厉戎 祖武符刘 景詹束龙 叶幸司韶 郜黎蓟薄 印宿白怀 蒲邰从鄂 索咸籍赖 卓蔺屠蒙 池乔阴鬱 胥能苍双 闻莘党翟 谭贡劳逄 姬申扶堵 冉宰郦雍 卻璩桑桂 濮牛寿通 边扈燕冀 郏浦尚农 温别庄晏 柴瞿阎充 慕连茹习 宦艾鱼容 向古易慎 戈廖庾终 暨居衡步 都耿满弘 匡国文寇 广禄阙东 欧殳沃利 蔚越夔隆 师巩厍聂 晁勾敖融 冷訾辛阚 那简饶空 曾毋沙乜 养鞠须丰 巢关蒯相 查后荆红 游竺权逯 盖益桓公 万俟司马 上官欧阳 夏侯诸葛 闻人东方 赫连皇甫 尉迟公羊 澹台公冶 宗政濮阳 淳于单于 太叔申屠 公孙仲孙 轩辕令狐 钟离宇文 长孙慕容 鲜于闾丘 司徒司空 丌官司寇 仉督子车 颛孙端木 巫马公西 漆雕乐正 壤驷公良 拓跋夹谷 宰父谷梁 晋楚闫法 汝鄢涂钦 段干百里 东郭南门 呼延归海 羊舌微生 岳帅缑亢 况郈有琴 梁丘左丘 东门西门 商牟佘佴 伯赏南宫 墨哈谯笪 年爱阳佟 第五言福 百家姓终
千字文	千字文 天地玄黄 宇宙洪荒 日月盈昃 辰宿列张 寒来暑往 秋收冬藏 闰余成岁 律吕调阳 云腾致雨 露结为霜 金生丽水 玉出昆岗 剑号巨阙 珠称夜光 果珍李柰 菜重芥姜 海咸河淡 鳞潜羽翔 龙师火帝 鸟官人皇 始制文字 乃服衣裳 推位让国 有虞陶唐 吊民伐罪 周发殷汤 坐朝问道 垂拱平章 爱育黎首 臣伏戎羌 遐迩一体 帅宾归王 鸣凤在竹 白驹食场 化被草木 赖及万方 盖此身发 四大五常 恭惟鞠养 岂敢毁伤 女慕贞洁 男效才良 知过必改 得能莫忘 罔谈彼短 靡恃己长 信使可复 器欲难量 墨悲丝染 诗赞羔羊 景行维贤 克念作圣 德建名立 形端表正 空谷传声 虚堂习听 祸因恶积 福缘善庆 尺璧非宝 寸阴是竞 资父事君 曰严与敬 孝当竭力 忠则尽命 临深履薄 夙兴温凊 似兰斯馨 如松之盛 川流不息 渊澄取映 容止若思 言辞安定 笃初诚美 慎终宜令 荣业所基 籍甚无竟 学优登仕 摄职从政 存以甘棠 去而益咏 乐殊贵贱 礼别尊卑 上和下睦 夫唱妇随 外受傅训 入奉母仪 诸姑伯叔 犹子比儿 孔怀兄弟 同气连枝 交友投分 切磨箴规 仁慈隐恻 造次弗离 节义廉退 颠沛匪亏 性静情逸 心动神疲 守真志满 逐物意移 坚持雅操 好爵自縻 都邑华夏 东西二京 背邙面洛 浮渭据泾 宫殿盘郁 楼观飞惊 图写禽兽 画彩仙灵 丙舍旁启 甲帐对楹 肆筵设席 鼓瑟吹笙 升阶纳陛 弁转疑星 右通广内 左达承明 既集坟典 亦聚群英 杜稿钟隶 漆书壁经 府罗将相 路侠槐卿 户封八县 家给千兵 高冠陪辇 驱毂振缨 世禄侈富 车驾肥轻 策功茂实 勒碑刻铭 盘溪伊尹 佐时阿衡 奄宅曲阜 微旦孰营 桓公匡合 济弱扶倾 绮回汉惠 说感武丁 俊乂密勿 多士是宁 晋楚更霸 赵魏困横 假途灭虢 践土会盟 何遵约法 韩弊烦刑 起翦颇牧 用兵最精 宣威沙漠 驰誉丹青 九州禹迹 百郡秦并 岳宗泰岱 禅主云亭 雁门紫塞 鸡田赤城 昆池碣石 钜野洞庭 旷远绵邈 岩岫杳冥 治本于农 务资稼穑 俶载南亩 我艺黍稷 税熟贡新 劝赏黜陟 孟轲敦素 史鱼秉直 庶几中庸 劳谦谨敕 聆音察理 鉴貌辨色 贻厥嘉猷 勉其祗植 省躬讥诫 宠增抗极 殆辱近耻 林皋幸即 两疏见机 解组谁逼 索居闲处 沉默寂寥 求古训论 散虑逍遥 欣奏累遣 戚谢欢招 渠荷的历 园莽抽条 枇杷晚翠 梧桐蚤凋 陈根委翳 落叶飘摇 游鹍独运 凌摩绛霄 耽读玩市 寓目囊箱 易輶攸畏 属耳垣墙 具膳餐饭 适口充肠 饱饫烹宰 饥厌糟糠 亲戚故旧 老少异粮 妾御绩纺 侍巾帷房 纨扇圆洁 银烛炜煌 昼眠夕寐 蓝笋象床 弦歌酒宴 接杯举觞 矫手顿足 悦豫且康 嫡后嗣续 祭祀烝尝 稽颡再拜 悚惧恐慌 笺牒简要 顾答审详 骸垢想浴 执热愿凉 驴骡犊特 骇跃超骧 诛斩贼盗 捕获叛亡 布射僚丸 嵇琴阮啸 恬笔伦纸 钧巧任钓 释纷利俗 并皆佳妙 毛施淑姿 工颦妍笑 年矢每催 曦晖朗曜 旋即斡旋 晦魄环照 指薪修祜 永绥吉劭 矩步引领 俯仰廊庙 束带矜庄 徘徊瞻眺 孤陋寡闻 愚蒙等诮 谓语助者 焉哉乎也
单位	单位 Å ℃ ％ ‰ ‱ ° ℉ ㏃ ㏆ ㎈ ㏄ ㏅ ㎝ ㎠ ㎤ ㏈ ㎗ ㎙ ㎓ ㎬ ㏉ ㏊ ㏋ ㎐ ㏌ ㎄ ㎅ ㎉ ㎏ ㎑ ㏍ ㎘ ㎞ ㏎ ㎢ ㎦ ㎪ ㏏ ㎸ ㎾ ㏀ ㏐ ㏓ ㎧ ㎨ ㎡ ㎥ ㎃ ㏔ ㎆ ㎎ ㎒ ㏕ ㎖ ㎜ ㎟ ㎣ ㏖ ㎫ ㎳ ㎷ ㎹ ㎽ ㎿ ㏁ ㎁ ㎋ ㎚ ㎱ ㎵ ㎻ ㏘ ㎩ ㎀ ㎊ ㏗ ㏙ ㏚ ㎰ ㎴ ㎺ ㎭ ㎮ ㎯ ㏛ ㏜ ㎔ ㏝ ㎂ ㎌ ㎍ ㎕ ㎛ ㎲ ㎶ ㎼
零	零 〇 ⁰ ₀ ⓪ 𝟘 🄀 🄁 ⓿ 0̣ 0️⃣
一	一 一、 壹 Ⅰ ⅰ 〡 ¹ ₁ ① 🈩 ⓵ 𝟙 ⒈ 🄂 ❶ ➊ 1̣ 1̇ ㊀ ㈠ ㆒ 1️⃣ 𓃉
二	二 二、 贰 Ⅱ ⅱ 〢 ² ₂ ② 🈔 ⓶ 𝟚 ⒉ 🄃 ❷ ➋ 2̣ 2̇ ㊁ ㈡ ㆓ 🉂 2️⃣ 𓃊
三	三 三、 叁 Ⅲ ⅲ 〣 ³ ₃ ③ 🈪 ⓷ 𝟛 ⒊ 🄄 ❸ ➌ 3̣ 3̇ ㊂ ㈢ ㆔ 🉁 3️⃣ 𓃋
四	四 四、 肆 Ⅳ ⅳ 〤 ⁴ ₄ ④ ⓸ 𝟜 ⒋ 🄅 ❹ ➍ 4̣ 4̇ ㊃ ㈣ 4️⃣ 𓃌
五	五 五、 伍 Ⅴ ⅴ 〥 ⁵ ₅ ⑤ ⓹ 𝟝 ⒌ 🄆 ❺ ➎ 5̣ 5̇ ㊄ ㈤ 5️⃣ 𓃍
六	六 六、 陆 Ⅵ ⅵ 〦 ⁶ ₆ ⑥ ⓺ 𝟞 ⒍ 🄇 ❻ ➏ 6̣ 6̇ ㊅ ㈥ 6️⃣ 𓃎
七	七 七、 柒 Ⅶ ⅶ 〧 ⁷ ₇ ⑦ ⓻ 𝟟 ⒎ 🄈 ❼ ➐ 7̣ 7̇ ㊆ ㈦ 7️⃣ 𓃏
八	八 八、 捌 Ⅷ ⅷ 〨 ⁸ ₈ ⑧ ⓼ 𝟠 ⒏ 🄉 ❽ ➑ 8̣ ㊇ ㈧ 8️⃣ 𓃐
九	九 九、 玖 Ⅸ ⅸ 〩 ⁹ ₉ ⑨ ⓽ 𝟡 ⒐ 🄊 ❾ ➒ 9̣ ㊈ ㈨ 9️⃣ 𓃑
十	十 十、 拾 Ⅹ ⅹ 〸 ⑩ ⓾ ⒑ ❿ ➓ ㊉ ㈩ 🔟
百	百 佰
千	千 仟 ㌔
十一	十一 Ⅺ ⅺ ⑪
十二	十二 Ⅻ ⅻ ⑫
二十	二十 廿 〹
三十	三十 卅 〺
罗马数字	罗马数字 ⅰ ⅱ ⅲ ⅳ ⅴ ⅵ ⅶ ⅷ ⅸ ⅹ ⅺ ⅻ ⅼ ⅽ ⅾ ⅿ Ⅰ Ⅱ Ⅲ Ⅳ Ⅴ Ⅵ Ⅶ Ⅷ Ⅸ Ⅹ Ⅺ Ⅻ Ⅼ Ⅽ Ⅾ Ⅿ
上标	上标 ⁰ ¹ ² ³ ⁴ ⁵ ⁶ ⁷ ⁸ ⁹ ˜ ⁺ ⁻ ⁼ ⁽ ⁾ ᴬ ᵃ ᵄ ᵅ ᶛ ᴭ ᵆ ᴮ ᴯ ᵇ ᵝ ᶜ ᵓ ᶝ ᴰ ᵈ ᶞ ᵟ ᴱ ᵉ ᴲ ᵊ ᵋ ᶟ ᵌ ᶠ ᶡ ᶲ ᵠ ᴳ ᵍ ᶢ ˠ ᵞ ᴴ ʰ ᶣ ʱ ᴵ ⁱ ᶤ ᵎ ᶥ ᴶ ʲ ᶨ ᴷ ᵏ ᴸ ᶫ ˡ ᶩ ᶪ ᴹ ᵐ ᶬ ᵚ ᶭ ᴺ ᴻ ⁿ ᵑ ᶮ ᶯ ᴼ ᵒ ᶱ ᴽ ᴾ ᵖ ᴿ ʳ ʶ ʴ ʵ ˢ ᶴ ᶳ ᵀ ᵗ ᶵ ᶿ ᵁ ᵘ ᶶ ᶷ ᵙ ⱽ ᵛ ᶺ ᶹ ᵂ ʷ ˣ ᵡ ʸ ᶻ ᶾ ᶽ ᶼ
